Customer_ID,Email,Gender,Region,Product,Category,Quantity,Price,Date,CLV
CUST0057,user57@bizmail.com,Male,South,Tablet,Gadgets,1,2255,2023-02-26,2255
CUST0058,user58@gmail.com,Female,West,Tablet,Electronics,2,574,2023-02-27,1148
CUST0059,user59@outlook.com,Female,East,Accessory,Gadgets,2,503,2023-02-28,1006
CUST0060,user60@gmail.com,Male,East,Smartphone,Add-ons,3,2370,2023-03-01,7110
CUST0061,user61@outlook.com,Male,South,Accessory,Gadgets,3,1145,2023-03-02,3435
CUST0062,user62@outlook.com,Female,North,Tablet,Gadgets,3,617,2023-03-03,1851
CUST0063,user63@gmail.com,Male,South,Laptop,Electronics,2,2129,2023-03-04,4258
CUST0064,user64@gmail.com,Male,North,Smartphone,Electronics,4,2521,2023-03-05,10084
CUST0065,user65@outlook.com,Male,West,Laptop,Electronics,4,1446,2023-03-06,5784
CUST0066,user66@yahoo.com,Female,East,Laptop,Gadgets,2,1964,2023-03-07,3928
CUST0067,user67@bizmail.com,Female,West,Smartphone,Add-ons,2,693,2023-03-08,1386
CUST0068,user68@gmail.com,Female,North,Accessory,Electronics,2,1346,2023-03-09,2692
CUST0069,user69@bizmail.com,Male,North,Laptop,Electronics,2,1915,2023-03-10,3830
CUST0070,user70@yahoo.com,Male,West,Tablet,Gadgets,2,1958,2023-03-11,3916
CUST0071,user71@yahoo.com,Female,North,Laptop,Electronics,2,2720,2023-03-12,5440
CUST0072,user72@yahoo.com,Female,West,Smartphone,Add-ons,3,2168,2023-03-13,6504
CUST0073,user73@gmail.com,Female,East,Smartphone,Add-ons,3,2873,2023-03-14,8619
CUST0074,user74@yahoo.com,Female,West,Smartphone,Electronics,3,1933,2023-03-15,5799
CUST0075,user75@gmail.com,Male,East,Accessory,Electronics,3,1641,2023-03-16,4923
CUST0076,user76@yahoo.com,Female,West,Laptop,Gadgets,2,2310,2023-03-17,4620
CUST0077,user77@bizmail.com,Male,North,Accessory,Add-ons,4,1223,2023-03-18,4892
CUST0078,user78@bizmail.com,Female,West,Accessory,Add-ons,1,724,2023-03-19,724
CUST0079,user79@outlook.com,Male,North,Smartphone,Electronics,2,1031,2023-03-20,2062
CUST0080,user80@bizmail.com,Female,West,Smartphone,Gadgets,1,612,2023-03-21,612
CUST0081,user81@outlook.com,Female,West,Accessory,Add-ons,4,2687,2023-03-22,10748
CUST0082,user82@bizmail.com,Female,South,Laptop,Add-ons,3,1058,2023-03-23,3174
CUST0083,user83@gmail.com,Female,North,Tablet,Gadgets,4,2548,2023-03-24,10192
CUST0084,user84@bizmail.com,Male,South,Accessory,Gadgets,2,2637,2023-03-25,5274
CUST0085,user85@outlook.com,Female,North,Laptop,Add-ons,3,1153,2023-03-26,3459
CUST0086,user86@outlook.com,Male,South,Smartphone,Add-ons,2,819,2023-03-27,1638
CUST0087,user87@yahoo.com,Male,East,Smartphone,Gadgets,3,2073,2023-03-28,6219
CUST0088,user88@gmail.com,Male,West,Laptop,Add-ons,1,2328,2023-03-29,2328
CUST0089,user89@bizmail.com,Male,North,Tablet,Electronics,1,2417,2023-03-30,2417
CUST0090,user90@yahoo.com,Female,North,Smartphone,Electronics,1,638,2023-03-31,638
CUST0091,user91@bizmail.com,Male,West,Smartphone,Gadgets,4,2526,2023-04-01,10104
CUST0092,user92@bizmail.com,Male,North,Smartphone,Gadgets,2,2806,2023-04-02,5612
CUST0093,user93@yahoo.com,Male,North,Laptop,Gadgets,4,1401,2023-04-03,5604
CUST0094,user94@yahoo.com,Female,South,Accessory,Electronics,1,1189,2023-04-04,1189
CUST0095,user95@yahoo.com,Female,North,Smartphone,Add-ons,2,2539,2023-04-05,5078
CUST0096,user96@yahoo.com,Female,East,Accessory,Electronics,1,509,2023-04-06,509
CUST0097,user97@yahoo.com,Female,East,Tablet,Add-ons,4,760,2023-04-07,3040
CUST0098,user98@bizmail.com,Male,West,Smartphone,Electronics,4,2442,2023-04-08,9768
CUST0099,user99@yahoo.com,Male,North,Smartphone,Add-ons,4,2173,2023-04-09,8692
CUST0100,user100@gmail.com,Female,West,Tablet,Electronics,1,2719,2023-04-10,2719
CUST0101,user101@outlook.com,Male,East,Smartphone,Gadgets,2,2560,2023-04-11,5120
CUST0102,user102@yahoo.com,Male,North,Accessory,Electronics,2,1691,2023-04-12,3382
CUST0103,user103@yahoo.com,Male,North,Laptop,Add-ons,1,2119,2023-04-13,2119
CUST0104,user104@bizmail.com,Female,West,Accessory,Electronics,2,820,2023-04-14,1640
CUST0105,user105@yahoo.com,Female,East,Laptop,Electronics,1,1842,2023-04-15,1842
CUST0106,user106@yahoo.com,Male,North,Laptop,Electronics,2,2136,2023-04-16,4272
CUST0107,user107@yahoo.com,Female,West,Accessory,Gadgets,3,2876,2023-04-17,8628
CUST0108,user108@bizmail.com,Female,East,Accessory,Electronics,3,2494,2023-04-18,7482
CUST0109,user109@yahoo.com,Female,West,Accessory,Gadgets,4,2443,2023-04-19,9772
CUST0110,user110@outlook.com,Female,South,Accessory,Gadgets,3,2538,2023-04-20,7614
CUST0111,user111@bizmail.com,Female,North,Tablet,Electronics,3,1618,2023-04-21,4854
CUST0112,user112@outlook.com,Male,South,Smartphone,Electronics,3,2104,2023-04-22,6312
CUST0113,user113@bizmail.com,Female,East,Laptop,Electronics,1,2865,2023-04-23,2865
CUST0114,user114@yahoo.com,Male,South,Accessory,Add-ons,3,735,2023-04-24,2205
CUST0115,user115@outlook.com,Male,South,Accessory,Electronics,3,2469,2023-04-25,7407
CUST0116,user116@bizmail.com,Female,East,Accessory,Gadgets,4,833,2023-04-26,3332
CUST0117,user117@gmail.com,Male,West,Tablet,Electronics,3,2408,2023-04-27,7224
CUST0118,user118@yahoo.com,Male,South,Accessory,Add-ons,3,875,2023-04-28,2625
CUST0119,user119@bizmail.com,Male,West,Accessory,Electronics,2,1660,2023-04-29,3320
CUST0120,user120@gmail.com,Female,South,Accessory,Add-ons,4,2070,2023-04-30,8280
CUST0121,user121@bizmail.com,Female,West,Smartphone,Add-ons,4,1819,2023-05-01,7276
CUST0122,user122@gmail.com,Male,East,Tablet,Electronics,4,2355,2023-05-02,9420
CUST0123,user123@yahoo.com,Female,South,Accessory,Gadgets,4,1872,2023-05-03,7488
CUST0124,user124@outlook.com,Female,East,Laptop,Add-ons,4,1372,2023-05-04,5488
CUST0125,user125@gmail.com,Female,South,Laptop,Electronics,4,1752,2023-05-05,7008
CUST0126,user126@bizmail.com,Female,East,Laptop,Electronics,1,2817,2023-05-06,2817
CUST0127,user127@yahoo.com,Male,East,Tablet,Gadgets,3,2351,2023-05-07,7053
CUST0128,user128@gmail.com,Male,South,Tablet,Add-ons,4,1814,2023-05-08,7256
CUST0129,user129@bizmail.com,Female,South,Laptop,Add-ons,3,1224,2023-05-09,3672
CUST0130,user130@bizmail.com,Female,South,Accessory,Electronics,3,2552,2023-05-10,7656
CUST0131,user131@bizmail.com,Male,North,Tablet,Electronics,1,577,2023-05-11,577
CUST0132,user132@gmail.com,Male,West,Laptop,Gadgets,4,631,2023-05-12,2524
CUST0133,user133@gmail.com,Female,North,Laptop,Gadgets,2,1100,2023-05-13,2200
CUST0134,user134@gmail.com,Male,North,Accessory,Add-ons,1,2272,2023-05-14,2272
CUST0135,user135@outlook.com,Female,East,Smartphone,Add-ons,2,1565,2023-05-15,3130
CUST0136,user136@gmail.com,Female,South,Tablet,Electronics,3,2636,2023-05-16,7908
CUST0137,user137@gmail.com,Male,West,Accessory,Add-ons,3,2949,2023-05-17,8847
CUST0138,user138@gmail.com,Male,East,Laptop,Gadgets,1,2843,2023-05-18,2843
CUST0139,user139@outlook.com,Female,North,Laptop,Gadgets,1,2363,2023-05-19,2363
CUST0140,user140@gmail.com,Female,South,Accessory,Electronics,2,1818,2023-05-20,3636
CUST0141,user141@bizmail.com,Male,East,Tablet,Gadgets,4,1115,2023-05-21,4460
CUST0142,user142@gmail.com,Female,South,Smartphone,Gadgets,2,2969,2023-05-22,5938
CUST0143,user143@bizmail.com,Male,East,Smartphone,Gadgets,1,2388,2023-05-23,2388
CUST0144,user144@bizmail.com,Female,South,Laptop,Gadgets,2,1546,2023-05-24,3092
CUST0145,user145@bizmail.com,Male,North,Tablet,Electronics,1,1074,2023-05-25,1074
CUST0146,user146@outlook.com,Male,West,Smartphone,Electronics,2,2690,2023-05-26,5380
CUST0147,user147@outlook.com,Male,North,Tablet,Add-ons,1,1492,2023-05-27,1492
CUST0148,user148@outlook.com,Female,West,Tablet,Gadgets,1,2692,2023-05-28,2692
CUST0149,user149@gmail.com,Female,South,Laptop,Add-ons,1,1748,2023-05-29,1748
CUST0150,user150@bizmail.com,Male,East,Smartphone,Electronics,4,1002,2023-05-30,4008
CUST0151,user151@outlook.com,Female,North,Accessory,Electronics,2,2497,2023-05-31,4994
CUST0152,user152@outlook.com,Male,West,Laptop,Electronics,2,1320,2023-06-01,2640
CUST0153,user153@gmail.com,Male,North,Smartphone,Electronics,2,2651,2023-06-02,5302
CUST0154,user154@outlook.com,Female,West,Smartphone,Electronics,1,2470,2023-06-03,2470
CUST0155,user155@gmail.com,Female,North,Smartphone,Electronics,2,697,2023-06-04,1394
CUST0156,user156@yahoo.com,Male,West,Smartphone,Electronics,2,2169,2023-06-05,4338
CUST0157,user157@outlook.com,Female,West,Smartphone,Gadgets,1,2938,2023-06-06,2938
CUST0158,user158@yahoo.com,Female,South,Tablet,Add-ons,3,1702,2023-06-07,5106
CUST0159,user159@gmail.com,Male,West,Laptop,Electronics,1,1971,2023-06-08,1971
CUST0160,user160@bizmail.com,Male,South,Tablet,Gadgets,2,2146,2023-06-09,4292
CUST0161,user161@outlook.com,Female,West,Accessory,Gadgets,1,2192,2023-06-10,2192
CUST0162,user162@gmail.com,Male,East,Smartphone,Add-ons,3,1812,2023-06-11,5436
CUST0163,user163@bizmail.com,Male,East,Laptop,Electronics,1,2535,2023-06-12,2535
CUST0164,user164@bizmail.com,Female,East,Smartphone,Add-ons,2,977,2023-06-13,1954
CUST0165,user165@yahoo.com,Male,West,Laptop,Electronics,3,1754,2023-06-14,5262
CUST0166,user166@gmail.com,Male,South,Tablet,Gadgets,4,1422,2023-06-15,5688
CUST0167,user167@bizmail.com,Female,South,Laptop,Gadgets,2,919,2023-06-16,1838
CUST0168,user168@outlook.com,Female,West,Accessory,Gadgets,3,2704,2023-06-17,8112
CUST0169,user169@outlook.com,Male,East,Accessory,Gadgets,3,1620,2023-06-18,4860
CUST0170,user170@yahoo.com,Male,East,Laptop,Add-ons,4,1450,2023-06-19,5800
CUST0171,user171@bizmail.com,Female,South,Laptop,Electronics,1,2836,2023-06-20,2836
CUST0172,user172@gmail.com,Female,East,Laptop,Electronics,1,1777,2023-06-21,1777
CUST0173,user173@outlook.com,Female,North,Laptop,Add-ons,2,2743,2023-06-22,5486
CUST0174,user174@bizmail.com,Female,South,Accessory,Electronics,4,2357,2023-06-23,9428
CUST0175,user175@bizmail.com,Male,East,Smartphone,Gadgets,1,1016,2023-06-24,1016
CUST0176,user176@yahoo.com,Female,South,Laptop,Electronics,4,2158,2023-06-25,8632
CUST0177,user177@outlook.com,Female,North,Laptop,Gadgets,1,2365,2023-06-26,2365
CUST0178,user178@outlook.com,Male,South,Accessory,Add-ons,3,1641,2023-06-27,4923
CUST0179,user179@gmail.com,Female,South,Accessory,Electronics,1,2432,2023-06-28,2432
CUST0180,user180@outlook.com,Male,South,Tablet,Add-ons,4,1314,2023-06-29,5256
CUST0181,user181@gmail.com,Female,South,Laptop,Electronics,3,2775,2023-06-30,8325
CUST0182,user182@outlook.com,Female,North,Tablet,Gadgets,3,2400,2023-07-01,7200
CUST0183,user183@yahoo.com,Female,West,Accessory,Add-ons,3,2763,2023-07-02,8289
CUST0184,user184@outlook.com,Male,South,Accessory,Electronics,4,2562,2023-07-03,10248
CUST0185,user185@gmail.com,Male,South,Smartphone,Gadgets,2,2594,2023-07-04,5188
CUST0186,user186@gmail.com,Female,East,Laptop,Add-ons,2,2871,2023-07-05,5742
CUST0187,user187@yahoo.com,Male,South,Tablet,Add-ons,2,629,2023-07-06,1258
CUST0188,user188@outlook.com,Male,East,Accessory,Electronics,4,594,2023-07-07,2376
CUST0189,user189@outlook.com,Male,West,Accessory,Electronics,3,2455,2023-07-08,7365
CUST0190,user190@yahoo.com,Male,North,Tablet,Electronics,2,1293,2023-07-09,2586
CUST0191,user191@outlook.com,Male,North,Smartphone,Gadgets,4,2334,2023-07-10,9336
CUST0192,user192@outlook.com,Male,West,Accessory,Electronics,2,2616,2023-07-11,5232
CUST0193,user193@gmail.com,Female,North,Laptop,Add-ons,1,2183,2023-07-12,2183
CUST0194,user194@outlook.com,Female,West,Accessory,Add-ons,2,510,2023-07-13,1020
CUST0195,user195@outlook.com,Male,West,Laptop,Electronics,2,2365,2023-07-14,4730
CUST0196,user196@yahoo.com,Female,West,Tablet,Electronics,3,1211,2023-07-15,3633
CUST0197,user197@yahoo.com,Female,North,Laptop,Add-ons,4,2570,2023-07-16,10280
CUST0198,user198@bizmail.com,Female,East,Tablet,Gadgets,3,1314,2023-07-17,3942
CUST0199,user199@gmail.com,Female,West,Laptop,Electronics,3,845,2023-07-18,2535
CUST0200,user200@outlook.com,Male,South,Tablet,Electronics,3,2849,2023-07-19,8547
